sample_id,aromatic,hydrocarbon,carboxylic_acid,nitrogen_bearing_compound,chlorine_bearing_compound,sulfur_bearing_compound,alcohol,other_oxygen_bearing_compound,mineral
S0117,0,0,0,0,1,0,0,0,1
S0118,0,0,0,0,0,0,0,0,0
S0119,0,0,1,0,0,0,0,0,0
S0120,0,0,0,0,0,0,0,0,0
S0121,0,0,1,0,0,0,1,1,0
S0122,1,0,1,1,0,0,0,0,0
S0123,0,0,0,0,0,0,0,0,0
S0124,0,0,0,0,0,0,0,0,0
S0125,0,0,0,0,0,0,0,1,0
S0126,0,1,0,0,0,0,0,0,0
S0127,0,1,0,0,0,0,0,0,0
S0128,0,0,0,0,0,0,0,0,0
S0129,0,0,0,0,0,0,0,0,0
S0130,0,0,0,0,0,0,0,0,0
S0131,0,1,0,0,0,0,0,0,0
S0132,0,0,0,0,0,0,0,0,0
S0133,0,1,0,0,0,0,0,0,0
S0134,0,0,0,1,0,0,0,0,0
S0135,1,0,1,0,0,0,0,0,1
S0136,0,1,0,0,0,0,0,0,0
S0137,1,0,1,1,0,0,0,0,0
S0138,0,1,0,0,0,0,0,0,0
S0139,0,0,0,0,0,0,0,0,0
S0140,0,0,1,0,0,0,0,0,0
S0141,0,0,1,0,0,0,0,0,0
S0142,0,0,0,0,0,0,0,0,1
S0143,0,0,0,0,0,0,0,0,0
S0144,0,0,0,0,0,0,0,0,0
S0145,0,0,0,0,0,0,0,0,0
S0146,0,0,0,0,0,0,0,0,0
S0147,0,0,1,0,0,0,0,0,0
S0148,0,0,0,0,0,0,0,1,0
S0149,1,1,1,1,1,1,1,1,0
S0150,0,0,0,1,0,0,0,0,0
S0151,0,1,0,0,0,0,0,0,0
S0152,0,0,0,1,1,0,0,0,0
S0153,0,0,0,0,0,0,0,0,0
S0154,0,1,0,0,0,0,0,0,0
S0155,0,1,0,0,0,0,0,0,0
S0156,0,0,0,0,0,0,0,0,1
S0157,0,1,0,0,0,0,0,0,0
S0158,1,1,0,0,0,1,0,0,0
S0159,0,0,0,0,0,0,0,0,0
S0160,1,1,1,1,1,1,1,1,0
S0161,0,0,0,0,0,0,0,0,0
S0162,0,0,1,1,0,0,0,0,0
S0163,1,0,0,0,0,0,0,0,1
S0164,0,0,0,0,0,0,0,0,0
S0165,0,0,0,0,0,0,0,0,0
S0166,0,0,0,0,0,0,0,0,0
S0167,0,0,0,0,0,0,0,0,0
S0168,0,0,0,0,0,0,0,0,0
S0169,1,1,0,0,0,1,0,0,0
S0170,0,0,0,1,0,0,0,0,0
S0171,0,1,0,0,0,0,0,0,0
S0172,0,1,0,0,0,0,0,0,0
S0173,0,0,0,0,0,0,0,0,1
S0174,0,1,0,0,0,0,0,0,0
S0175,0,0,0,0,0,0,0,0,1
S0176,0,1,0,0,0,0,0,0,0
S0177,0,1,0,0,0,0,0,0,0
S0178,0,0,0,0,0,0,0,0,1
S0179,0,0,0,0,0,0,0,0,1
S0180,0,0,0,0,0,0,1,0,0
S0181,0,0,0,0,0,0,0,0,0
S0182,0,0,0,0,0,0,0,0,1
S0183,0,1,0,0,0,0,0,0,0
S0184,0,1,0,0,0,0,0,0,0
S0185,0,1,0,0,0,0,0,0,0
S0186,0,0,0,0,0,0,0,0,0
S0187,0,0,0,0,0,0,0,0,0
S0188,0,1,0,0,0,0,0,0,0
S0189,0,1,0,0,0,0,0,0,0
S0190,0,0,1,1,0,1,1,0,0
S0191,0,0,0,0,0,0,0,0,0
S0192,0,0,0,0,0,0,0,0,0
S0193,0,0,0,0,0,0,0,0,0
S0194,0,1,0,0,0,0,0,0,0
S0195,0,1,0,0,0,0,0,0,0
S0196,0,0,1,1,0,0,0,0,1
S0197,0,0,0,0,0,0,0,0,0
S0198,0,0,0,1,0,0,0,0,0
S0199,0,0,0,0,0,0,0,0,0
S0200,0,1,0,0,0,0,0,0,0
S0201,0,1,0,0,0,0,0,0,0
S0202,0,0,0,0,0,0,0,0,0
S0203,0,0,0,0,0,0,0,0,0
S0204,0,0,1,0,0,0,0,0,0
S0205,0,0,0,0,0,0,0,0,1
S0206,1,1,0,0,0,1,0,0,0
S0207,0,0,0,0,0,0,0,0,1
S0208,0,0,0,0,0,0,0,0,0
S0209,0,0,0,0,0,0,0,0,0
S0210,0,0,0,0,1,0,0,0,1
S0211,0,1,0,0,0,0,0,0,0
S0212,0,0,0,0,0,0,0,0,0
S0213,0,0,0,0,0,0,0,0,0
S0214,0,0,1,1,0,0,0,0,0
S0215,0,0,0,0,0,0,0,0,0
S0216,0,0,0,0,0,0,0,0,0
S0217,0,0,0,0,0,0,0,0,0
S0218,0,1,0,0,0,0,0,0,0
S0219,0,0,0,0,0,0,0,0,0
S0220,0,1,0,0,0,0,0,0,0
S0221,0,0,0,0,0,0,0,0,1
S0222,0,0,0,0,0,0,0,0,0
S0223,0,0,0,0,0,0,0,0,0
S0224,0,0,0,0,0,0,0,0,1
S0225,0,0,0,1,1,0,0,0,0
S0226,0,1,0,0,0,0,0,0,0
S0227,0,0,0,0,0,0,0,0,0
S0228,0,0,0,0,0,0,0,0,0
S0229,1,1,1,1,1,1,1,1,0
S0230,0,0,0,0,0,0,0,0,1
S0231,0,0,1,0,0,0,0,0,0
S0232,0,1,0,0,0,0,0,0,0
S0233,0,1,0,0,0,0,0,0,0
S0234,0,1,0,0,0,0,0,0,0
S0235,0,1,0,0,0,0,0,0,0
S0236,0,1,0,0,0,0,0,0,0
S0237,0,0,0,0,0,0,0,0,0
S0238,0,1,0,0,0,0,0,0,0
S0239,1,1,1,1,1,1,1,1,0
S0240,0,0,0,1,0,0,0,0,0
S0241,0,1,0,0,0,0,0,0,0
S0242,0,0,0,0,0,1,0,0,0
S0243,0,1,0,0,0,0,0,0,0
S0244,0,0,0,0,0,0,0,0,0
S0245,0,1,0,0,0,0,0,0,0
S0246,0,0,0,0,0,0,0,0,1
S0247,1,0,0,0,0,0,0,0,0
S0248,0,1,0,0,0,0,0,0,0
S0249,0,0,0,0,0,0,0,0,1
S0250,0,0,1,1,0,0,0,0,0
S0251,0,0,0,0,0,0,0,0,0
S0252,0,0,0,0,0,0,0,0,1
S0253,0,0,0,0,0,0,0,0,0
S0254,0,0,0,0,0,0,0,0,0
S0255,1,0,1,1,0,1,1,0,0
S0256,0,1,0,0,0,0,0,0,0
S0257,0,0,0,0,0,0,0,0,0
S0258,0,0,0,0,0,0,0,0,0
S0259,0,1,0,0,0,0,0,0,0
S0260,0,0,0,0,0,0,0,0,0
S0261,0,0,0,0,0,0,0,0,0
S0262,0,0,0,0,0,0,0,0,0
S0263,0,1,0,0,0,0,0,0,0
S0264,0,1,0,0,0,0,0,0,0
S0265,0,1,0,0,0,0,0,0,0
S0266,0,1,0,0,0,0,0,0,0
S0267,0,0,0,0,0,0,0,0,0
S0268,0,0,0,0,0,0,0,0,0
S0269,0,0,0,0,0,0,0,0,0
S0270,0,0,0,0,0,0,0,0,0
S0271,0,1,0,0,0,0,0,0,0
S0272,0,0,0,0,0,0,0,0,0
S0273,0,0,0,0,0,0,0,0,0
S0274,0,1,0,0,0,0,0,0,0
S0275,0,1,0,0,0,0,0,0,0
S0276,1,1,0,0,0,1,0,0,0
S0277,0,1,0,0,0,0,0,0,0
S0278,0,1,0,0,0,0,0,0,0
S0279,0,1,0,0,0,0,0,0,0
S0280,0,1,0,0,0,0,0,0,0
S0281,0,1,0,0,0,0,0,0,0
S0282,0,1,0,0,0,0,0,0,0
S0283,1,1,1,1,1,1,1,1,0
S0284,0,0,0,0,0,0,0,0,1
S0285,1,0,1,1,0,0,0,0,0
S0286,0,0,0,0,0,0,0,0,0
S0287,0,0,0,0,0,0,0,0,0
S0288,0,0,0,0,0,0,0,0,1
S0289,0,0,0,0,0,0,0,0,0
S0290,0,0,0,0,0,0,0,0,0
S0291,0,1,0,0,0,0,0,0,0
S0292,0,1,0,0,0,0,0,0,0
S0293,0,0,0,0,0,0,0,0,0
S0294,0,0,0,0,0,0,0,0,0
S0295,1,0,1,1,0,0,0,0,0
S0296,0,0,1,0,0,0,0,0,0
S0297,0,0,0,0,0,0,0,0,1
S0298,0,1,0,0,0,0,0,0,0
S0299,0,0,0,0,0,0,0,0,0
S0300,0,1,0,0,0,0,0,0,0
S0301,0,0,0,0,0,0,0,0,0
S0302,0,0,1,1,0,0,0,0,0
S0303,0,0,0,0,0,0,0,0,0
S0304,0,0,0,0,0,0,0,0,0
S0305,0,0,0,0,0,0,0,0,1
S0306,0,0,0,0,0,0,0,0,0
S0307,0,1,0,0,0,0,0,0,0
S0308,0,0,1,1,0,1,1,0,0
S0309,0,0,0,0,0,0,0,0,0
S0310,0,0,0,0,0,0,0,0,1
S0311,0,0,1,1,0,0,0,0,0
S0312,0,0,1,1,0,1,1,0,0
S0313,0,0,0,0,0,0,0,0,0
S0314,0,1,0,0,0,0,0,0,0
S0315,0,0,0,0,0,0,0,0,0
S0316,0,1,0,0,0,0,0,0,0
S0317,0,0,0,0,0,0,0,0,0
S0318,0,0,0,0,0,0,0,0,0
S0319,0,1,0,0,0,0,0,0,0
S0320,0,0,0,0,0,0,0,0,0
S0321,0,1,0,0,0,0,0,1,0
S0322,0,0,0,0,0,0,0,0,0
S0323,0,0,0,1,0,0,0,0,0
S0324,0,0,0,0,0,0,0,0,0
S0325,0,1,0,0,0,0,0,0,0
S0326,0,0,0,0,0,0,0,0,0
S0327,0,1,0,0,0,0,0,0,0
S0328,0,0,0,0,0,0,0,0,0
S0329,0,1,0,0,0,0,0,0,0
S0330,0,0,0,0,0,0,0,0,0
S0331,0,0,0,0,0,0,0,0,0
S0332,0,0,0,0,0,0,0,0,1
S0333,0,0,0,0,0,0,0,0,1
S0334,0,0,1,0,0,0,0,0,0
S0335,0,0,1,1,0,0,0,0,0
S0336,0,1,0,0,0,0,0,0,0
S0337,0,0,0,0,0,0,0,0,0
S0338,0,0,0,0,0,0,0,0,0
S0339,1,0,1,0,0,0,0,0,1
S0340,0,0,0,0,0,0,0,0,0
S0341,0,0,0,0,0,0,0,0,0
S0342,0,0,0,0,0,0,0,0,0
S0343,0,1,0,0,0,0,0,0,0
S0344,1,0,1,1,0,0,0,0,0
S0345,0,0,0,1,0,0,0,0,0
S0346,0,0,0,0,0,0,0,0,1
S0347,0,0,0,0,0,0,0,0,0
S0348,0,0,0,0,0,0,0,0,1
S0349,0,1,0,0,0,0,0,0,0
S0350,0,0,0,0,0,0,0,0,0
S0351,0,1,0,0,0,0,0,0,0
S0352,0,1,0,0,0,0,0,0,0
S0353,0,0,0,0,0,0,0,0,1
S0354,0,0,0,0,0,0,0,0,0
S0355,0,1,0,0,0,0,0,0,1
S0356,0,0,0,0,0,0,0,0,0
S0357,0,1,0,0,0,0,0,0,0
S0358,0,0,0,0,0,0,0,0,0
S0359,0,1,0,0,0,0,0,0,0
S0360,0,1,0,0,0,0,0,0,0
S0361,0,1,0,0,0,0,0,0,0
S0362,0,0,0,0,0,0,0,0,0
S0363,0,0,0,0,0,0,0,0,0
S0364,0,1,0,0,0,0,0,0,0
S0365,0,0,0,0,0,0,0,0,0
S0366,0,0,0,0,0,0,0,0,0
S0367,0,1,0,0,0,0,0,0,0
S0368,0,0,0,0,0,0,0,0,0
S0369,0,0,0,0,0,0,0,0,0
S0370,0,0,0,0,0,0,0,0,0
S0371,0,1,0,0,0,0,0,0,0
S0372,0,0,0,0,0,0,0,0,0
S0373,0,1,0,0,0,0,0,0,0
S0374,0,1,0,0,0,0,0,0,0
S0375,0,1,0,0,0,0,0,0,0
S0376,0,0,0,0,0,0,0,0,0
S0377,1,0,1,1,0,0,0,0,0
S0378,0,0,0,1,0,0,0,0,0
S0379,0,0,0,0,0,0,0,0,0
S0380,0,0,1,0,0,0,0,0,0
S0381,0,0,0,0,0,0,0,0,0
S0382,0,1,0,0,0,0,0,0,0
S0383,0,0,0,0,0,0,0,0,0
S0384,0,0,0,0,0,0,0,0,0
S0385,0,1,0,0,0,0,0,0,0
S0386,1,0,0,0,0,0,0,0,0
S0387,0,0,1,1,0,0,0,0,0
S0388,0,1,0,0,0,0,0,0,0
S0389,0,1,0,0,0,0,0,0,0
S0390,0,1,0,0,0,0,0,0,0
S0391,0,1,0,0,0,0,0,0,0
S0392,0,0,0,0,0,0,0,0,0
S0393,0,1,0,0,0,0,0,0,0
S0394,0,1,0,0,0,0,0,0,0
S0395,0,1,0,0,0,0,0,0,0
S0396,0,0,1,1,0,0,0,0,0
S0397,0,1,0,0,0,0,0,0,0
S0398,0,0,0,0,0,0,0,0,1
S0399,0,1,0,0,0,0,0,0,0
S0400,0,1,0,0,0,0,0,0,0
S0401,1,0,0,0,0,0,0,0,0
S0402,0,0,0,0,0,0,0,0,0
S0403,0,0,0,0,0,0,0,0,0
S0404,0,0,0,0,0,0,0,0,0
S0405,0,0,1,0,0,0,0,0,0
S0406,0,1,0,0,0,0,0,0,0
S0407,0,1,0,0,0,0,0,0,0
S0408,1,0,0,0,0,0,0,0,1
S0409,0,0,0,0,0,0,0,0,1
S0410,0,0,1,1,0,0,0,0,0
S0411,0,0,0,0,0,0,0,0,1
S0412,1,0,0,0,0,0,0,0,0
S0413,0,0,0,1,0,0,0,0,0
S0414,0,1,0,0,0,0,0,0,0
S0415,0,0,0,0,0,0,0,0,0
S0416,0,0,0,0,0,0,1,0,0
S0417,0,0,0,0,0,0,0,0,0
S0418,0,0,0,0,0,0,1,0,0
S0419,0,0,0,0,0,0,0,0,0
S0420,0,0,0,0,0,0,0,0,0
S0421,0,0,1,1,0,1,1,0,0
S0422,0,1,0,0,0,0,0,0,0
S0423,0,1,0,0,0,0,0,0,0
S0424,0,0,0,0,0,0,0,0,0
S0425,0,0,0,0,0,0,0,0,1
S0426,1,0,0,0,0,0,0,0,0
S0427,0,1,0,0,0,0,0,0,0
S0428,0,0,0,0,0,0,0,0,0
S0429,0,0,0,0,0,0,0,0,0
S0430,1,0,1,0,0,0,0,0,0
S0431,0,1,0,0,0,0,0,0,0
S0432,0,0,0,0,0,0,0,0,0
S0433,0,0,1,0,0,0,0,0,0
S0434,1,0,0,0,0,0,0,0,0
S0435,0,1,0,0,0,0,0,0,0
S0436,0,1,0,0,0,0,0,0,0
S0437,0,1,0,0,0,0,0,0,0
S0438,0,0,0,0,0,0,0,0,0
S0439,1,0,1,1,0,0,0,0,0
S0440,0,1,0,0,0,0,0,0,0
S0441,0,0,0,0,0,0,0,0,0
S0442,0,1,0,0,0,0,0,0,0
S0443,0,0,0,0,0,0,0,0,0
S0444,0,0,0,0,0,0,0,0,0
S0445,0,0,0,0,0,0,0,0,0
S0446,0,0,0,0,0,0,0,0,0
S0447,0,0,0,0,0,0,0,0,0
S0448,0,0,0,0,0,0,0,0,0
S0449,0,1,0,0,0,0,0,0,0
S0450,0,0,0,0,0,0,0,0,1
S0451,0,0,1,1,0,0,0,0,0
S0452,0,1,0,0,0,0,0,0,0
S0453,0,0,0,0,0,0,0,0,0
S0454,0,0,0,0,0,0,0,0,0
S0455,0,0,0,0,0,0,0,0,0
S0456,0,0,0,0,0,0,0,0,1
S0457,0,1,0,0,0,0,0,0,0
S0458,1,1,0,0,0,1,0,0,0
S0459,0,0,0,0,0,0,0,0,1
S0460,0,0,0,0,0,0,0,0,0
S0461,0,0,0,1,0,0,0,0,0
S0462,0,1,0,0,0,0,0,0,0
S0463,0,0,0,0,0,0,0,0,0
S0464,0,0,0,0,0,0,0,0,1
S0465,0,0,0,0,0,0,0,0,0
S0466,0,0,0,0,0,0,0,0,0
S0467,0,0,0,0,0,0,0,0,1
S0468,0,0,0,0,0,0,0,0,1
S0469,0,0,0,0,0,0,0,0,0
S0470,1,0,0,0,0,0,0,0,1
S0471,0,0,0,0,0,0,0,0,0
S0472,0,1,0,0,0,0,0,0,0
S0473,1,0,0,0,0,0,0,0,1
S0474,0,1,0,0,0,0,0,0,0
S0475,0,0,0,0,0,0,0,0,0
S0476,0,0,0,0,0,0,0,0,1
S0477,0,1,0,0,0,0,0,0,0
S0478,0,1,0,0,0,0,0,0,0
S0479,0,0,0,0,0,0,0,0,0
S0480,0,1,0,0,0,0,0,0,0
S0481,1,0,0,0,0,0,0,0,0
S0482,0,0,0,0,0,0,0,0,0
S0483,0,0,0,0,0,0,0,0,0
S0484,0,0,0,0,0,0,0,0,0
S0485,0,0,0,0,0,0,0,0,0
S0486,0,0,0,0,0,0,0,0,0
S0487,0,1,0,0,0,0,0,0,0
S0488,0,1,0,0,0,0,0,0,0
S0489,0,0,0,0,0,0,0,0,0
S0490,0,1,0,0,0,0,0,0,0
S0491,0,0,0,0,0,0,0,0,0
S0492,0,0,0,0,0,0,0,1,0
S0493,0,1,0,0,0,0,0,0,0
S0494,0,0,0,0,0,0,0,0,0
S0495,0,0,0,0,0,0,0,0,0
S0496,0,1,0,0,0,0,0,0,0
S0497,0,1,0,0,0,0,0,0,0
S0498,0,1,0,0,0,0,0,0,0
S0499,0,0,0,0,0,0,0,0,0
S0500,0,0,0,0,0,0,0,0,0
S0501,0,0,0,0,0,0,0,0,0
S0502,0,1,0,0,0,0,0,0,0
S0503,0,0,0,0,0,0,0,0,0
S0504,0,0,1,1,0,0,0,0,0
S0505,0,0,0,0,0,0,0,0,0
S0506,0,1,0,0,0,0,0,0,0
S0507,0,0,0,0,0,0,0,0,1
S0508,0,0,1,1,0,0,0,0,1
S0509,0,0,0,0,0,0,0,0,0
S0510,0,0,0,0,0,0,0,0,0
S0511,0,0,0,0,0,0,0,0,1
S0512,0,0,1,1,0,0,0,0,0
S0513,0,0,0,0,0,0,0,0,0
S0514,0,0,0,0,0,0,0,0,0
S0515,0,1,0,0,0,0,0,0,0
S0516,0,1,0,0,0,0,0,1,0
S0517,0,1,0,0,0,0,0,0,0
S0518,0,0,0,0,0,0,0,0,0
S0519,0,0,0,0,0,0,0,0,0
S0520,0,0,0,0,0,0,0,0,0
S0521,0,0,1,1,0,0,0,0,0
S0522,0,0,0,0,0,0,0,0,1
S0523,0,0,1,0,0,0,0,0,0
S0524,0,0,0,0,0,0,0,0,0
S0525,0,0,0,0,0,0,0,0,0
S0526,1,0,1,1,0,0,0,0,1
S0527,0,0,0,0,0,0,0,0,0
S0528,0,0,0,0,0,0,0,0,0
S0529,0,0,0,0,0,0,0,0,1
S0530,0,0,0,0,0,0,0,0,0
S0531,0,0,0,0,0,0,0,0,0
S0532,0,0,0,0,0,0,0,0,0
S0533,0,0,0,0,0,0,0,0,0
S0534,0,1,0,0,0,0,0,0,0
S0535,0,1,0,0,0,0,0,0,0
S0536,0,0,0,0,0,0,0,0,0
S0537,0,1,0,0,0,0,0,0,0
S0538,1,0,1,0,0,0,0,0,0
S0539,0,0,0,0,0,0,0,0,0
S0540,0,1,0,0,0,0,0,0,0
S0541,0,0,0,0,0,0,0,0,0
S0542,0,0,0,0,0,0,0,0,1
S0543,0,0,0,0,0,0,0,0,1
S0544,0,0,0,0,0,0,0,0,0
S0545,0,1,0,0,0,0,0,0,0
S0546,1,0,1,1,0,0,0,0,0
S0547,0,0,1,1,0,0,0,0,0
S0548,0,0,0,0,0,0,0,0,0
S0549,0,0,0,0,0,0,0,0,0
S0550,0,1,0,0,0,0,0,0,0
S0551,1,0,1,1,0,0,0,0,0
S0552,1,0,1,0,0,0,0,0,1
S0553,0,1,0,0,0,0,0,0,0
S0554,0,0,1,1,1,0,0,0,0
S0555,0,0,0,0,0,0,0,0,0
S0556,0,0,0,0,0,0,0,0,0
S0557,0,0,0,0,0,0,0,0,0
S0558,0,0,0,0,0,0,0,0,0
S0559,0,1,0,0,0,0,0,0,0
S0560,0,1,0,0,0,0,0,0,0
S0561,0,0,0,0,0,0,0,0,0
S0562,0,1,0,0,0,0,0,0,0
S0563,0,0,0,0,0,0,0,0,0
S0564,0,0,1,1,0,0,0,0,0
S0565,0,0,1,0,0,0,0,0,0
S0566,0,0,0,0,0,0,0,0,1
S0567,0,1,0,0,0,0,0,0,0
S0568,0,0,0,0,0,0,0,0,0
S0569,1,0,1,0,0,0,0,0,1
S0570,1,0,1,1,0,0,0,0,0
S0571,0,1,0,0,0,0,0,0,0
S0572,0,0,0,0,0,0,0,0,0
S0573,0,0,1,0,0,0,0,0,0
S0574,0,1,0,0,0,0,0,0,0
S0575,0,1,0,0,0,0,0,0,0
S0576,0,1,0,0,0,0,0,0,0
S0577,0,1,0,0,0,0,0,0,0
S0578,0,1,0,0,0,0,0,0,0
S0579,0,0,0,0,0,0,0,0,0
S0580,0,0,0,0,0,0,0,0,0
S0581,1,0,1,1,0,0,0,0,0
S0582,0,0,0,0,0,0,0,0,0
S0583,0,0,0,0,0,0,0,0,0
S0584,0,1,0,0,0,0,0,0,0
S0585,0,0,1,1,0,1,1,0,0
S0586,0,0,0,0,0,0,0,0,0
S0587,0,1,0,0,0,0,0,0,0
S0588,1,0,1,1,0,1,1,0,0
S0589,0,0,0,0,0,0,0,0,0
S0590,0,0,0,0,0,0,0,0,0
S0591,0,0,1,1,0,0,0,0,1
S0592,1,1,1,1,1,1,1,1,0
S0593,0,0,0,0,0,0,0,0,0
S0594,0,0,1,0,0,0,0,0,1
S0595,0,0,0,0,0,0,0,0,0
S0596,0,0,0,0,0,0,0,0,0
S0597,0,0,0,0,0,0,0,0,1
S0598,0,1,0,0,0,0,0,0,0
S0599,0,0,0,0,0,0,0,0,0
S0600,0,1,0,0,0,0,0,0,0
S0601,0,1,0,0,0,0,0,0,0
S0602,0,0,1,1,0,0,0,0,0
S0603,0,0,0,0,0,0,0,0,0
S0604,0,0,0,0,0,0,0,0,1
S0605,0,1,0,0,0,0,0,0,0
S0606,1,0,1,1,0,0,0,0,1
S0607,0,0,0,0,0,0,0,0,0
S0608,0,0,0,0,0,0,0,0,0
S0609,0,1,0,0,0,0,0,0,0
S0610,0,1,0,0,0,0,0,0,0
S0611,1,0,0,0,0,0,0,0,1
S0612,0,1,0,0,0,0,0,0,0
S0613,0,1,0,0,0,0,0,0,0
S0614,0,0,0,1,1,0,0,0,0
S0615,0,1,0,0,0,0,0,0,0
S0616,0,1,0,0,0,0,0,0,0
S0617,0,1,0,0,0,0,0,0,0
S0618,1,0,1,0,0,0,0,0,1
S0619,0,1,0,0,0,0,0,0,0
S0620,0,0,1,0,0,0,0,0,1
S0621,0,1,0,0,0,0,0,0,0
S0622,0,0,0,0,0,0,0,0,0
S0623,0,1,0,0,0,0,0,0,0
S0624,0,0,0,0,0,0,0,0,1
S0625,0,0,0,0,0,0,0,0,0
S0626,0,0,0,0,0,0,0,0,1
S0627,0,0,0,0,0,0,0,0,1
